name,gender,date_of_birth,email,phone,department_name,job_title
Abdul Halim,Male,1975-01-14,1856806723@yopmail.com,1856806723,Blow Mould,Helper
Abdul Jabber,Male,1975-01-15,1856806724@yopmail.com,1856806724,HR & Admin (SCCL-CTG),Officer
Abdul Kader Meah,Male,1975-01-14,1856806725@yopmail.com,1856806725,Transport,Truck Driver
Abdullah Al Mamun Tarafder,Male,1975-01-14,1856806726@yopmail.com,1856806726,Production (SCCL-DF),"Operator, Brine"
Abdullah Al Ragib,Male,1975-01-14,1856806727@yopmail.com,1856806727,Production (SCCL-DF),Engineer
Abdul Mannan,Male,1975-01-14,1856806728@yopmail.com,1856806728,Production (SCCL-DF),"Operator, Chlorine Cylinder Filling"
Abdur Rahim,Male,1975-01-14,1856806729@yopmail.com,1856806729,Blow Mould,Trainee Asst. Operator
Abdur Rahim,Male,1975-01-14,1856806730@yopmail.com,1856806730,Transport,Lorry Driver
Abdur Rahman Bhayan,Male,1975-01-14,1856806731@yopmail.com,1856806731,Mechanical (SCCL-DF),Supervisor
Abdur Razzak,Male,1975-01-14,1856806732@yopmail.com,1856806732,,
Abdur Rob,Male,1975-01-14,1856806733@yopmail.com,1856806733,HR & Admin (SCCL-CTG),Imam
A.B.M Taufikul Islam,Male,1975-01-14,1856806734@yopmail.com,1856806734,Sales & Marketing (H2o2),Assistant. Manager
Abu Hanif,Male,1975-01-14,1856806735@yopmail.com,1856806735,Production (SCCL-DF),"Operator, HCL,Hypo Storage"
Abul Faruque,Male,1975-01-14,1856806736@yopmail.com,1856806736,Production (SCCL-DF),"Operator, Electrolyzer & Dechlorination"
Abul Hasam,Male,1975-01-14,1856806737@yopmail.com,1856806737,Production (SCCL-DF),"Operator, Electrolyzer & Dechlorination"
Abul Hasan,Male,1975-01-14,1856806738@yopmail.com,1856806738,HR & Admin (SCCL-DF),Officer
Abul Kalam,Male,1975-01-14,1856806739@yopmail.com,1856806739,Transport,Driver
Abu Shaed Mahbub Hasan,Male,1975-01-14,1856806740@yopmail.com,1856806740,Electrical & Instrument (SCCL-DF),"Manager, Electrical."
Abu Syed,Male,1975-01-14,1856806741@yopmail.com,1856806741,Electrical & Instrument (SCCL-CTG),Helper
Abu taher,Male,1975-01-14,1856806742@yopmail.com,1856806742,Mechanical (SCCL-CTG),Helper
Adesh Barua,Male,1975-01-14,1856806743@yopmail.com,1856806743,Blow Mould,Helper
Adnan Rahman Sourav,Male,1975-01-14,1856806744@yopmail.com,1856806744,Electrical & Instrument (SCCL-CTG),S.Asst. Engineer
