Layer,Code,Name,Parent Account,Type,active,pending,state
Layer 5,11101001,Paid up Capital ,Paid up Capital ,General,True,False,approve
Layer 5,11201001,General Reserve ,General Reserve ,General,True,False,approve
Layer 5,11202001,Statutory Reserve ,Statutory Reserve ,General,True,False,approve
Layer 5,11203001,Revaluation gain on HTM Securities,Revaluation Reserve,General,True,False,approve
Layer 5,11203002,Revaluation gain on HFT Securities (T Bill),Revaluation Reserve,General,True,False,approve
Layer 5,11203003,Revaluation gain on HFT Securities (T Bond),Revaluation Reserve,General,True,False,approve
Layer 5,11204001,Share Premium ,Share Premium ,General,True,False,approve
Layer 5,11205001,Retained earnings ,Retained earnings,General,True,False,approve
Layer 5,12101001,EGBMP Fund,Borrowings under Bangladesh Bank-others,General,True,False,approve
Layer 5,12101002,Special Repo ,Borrowings under Bangladesh Bank-others,General,True,False,approve
Layer 5,12101003,Assured Liquidity Support (ALS-Repo),Borrowings under Bangladesh Bank-others,General,True,False,approve
Layer 5,12101004,Export Dev. Fund USD,Borrowings under Bangladesh Bank-others,General,True,False,approve
Layer 5,12101005,Repo Bangladesh Bank,Borrowings under Bangladesh Bank-others,General,True,False,approve
Layer 5,12102001,JICA Fund SME,Borrowings under BB Pre-finance,General,True,False,approve
Layer 5,12103002,Taka 10 Account Holders,Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103003,Woman Enterpreneurs Fund (SME),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103004,SME Loan Refinance,Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103005,Home Loan Refinance <Borrowings>,Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103006,ADB Fund (SME),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103007,ADB Fund (Brick Klin),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103008,EGBMP Fund (SME),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103009,JICA Fund (SME),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103010,Agro-Processing Rural Industries Fund,Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103011,Bangladesh Bank Fund (Others),Borrowings under BB Refinance,General,True,False,approve
Layer 5,12103012,Agro-Processing Rural Industries Fund Old,Borrowings under BB Refinance,General,True,False,approve
Layer 5,12104001,Investment Promotion and Financing Fund (IPFF) USD,Investment Promotion and Financing Facility (IPFF) FC,General,True,False,approve
Layer 5,12104002,Investment Promotion and Financing Facility (IPFF) GBP,Investment Promotion and Financing Facility (IPFF) FC,General,True,False,approve
Layer 5,12104101,Investment Promotion and Financing Fund (IPFF) USD OBU,Investment Promotion and Financing Facility (IPFF) FC,General,True,False,approve
Layer 5,12105001,Long Term Financing Facility (LTFF) under FSSP,Long Term Financing Facility (LTFF),General,True,False,approve
Layer 5,12201001,Term Borrowing in FC <USD>,Term Borrowing in FC,General,True,False,approve
Layer 5,12201002,Term Borrowing in FC <GBP>,Term Borrowing in FC,General,True,False,approve
Layer 5,12204001,Repo T Bill,REPO <Borrowings under>,General,True,False,approve
Layer 5,12204002,Repo T Bond,REPO <Borrowings under>,General,True,False,approve
Layer 5,12205001,Call Borrowing in FC <USD>,Call Borrowing in FC,General,True,False,approve
